id,customer,email,phone,address,city,state,zip
f6ffd149-feeb-47e1-af85-2a70f6c0d737,Britte Baughan,bbaughan0@si.edu,(830) 496-7158,4 Manufacturers Hill,San Antonio,TX,78245
6accc3ce-b4c2-44f5-927f-63ac43464fba,Reed Boatwright,rboatwright1@google.de,(952) 605-8507,0377 Leroy Way,Young America,MN,55557
60e59d25-c5ee-4f36-86ae-09bac17af39c,Barth Ivey,bivey2@disqus.com,(818) 115-5675,45396 Thierer Hill,Los Angeles,CA,90035
c8b8b08d-cdf2-43ea-9bbb-00dbb83402a8,Roman Loader,rloader3@vimeo.com,(763) 130-9192,6 Paget Lane,Maple Plain,MN,55572
d1f1c83f-9bc2-49c9-a769-51b3a6f3592b,Cora Ruberti,cruberti4@about.me,(601) 197-9779,7 Thompson Crossing,Hattiesburg,MS,39404
26e9f84f-65e0-4338-a10e-e2a3f125f35c,Donnajean Flawn,dflawn5@twitter.com,(713) 510-9290,89 Holy Cross Plaza,Houston,TX,77201
7ee9705a-5364-4649-91b6-e6be096ec0df,Drusi Joddens,djoddens6@youtube.com,(478) 954-5791,8183 Delaware Center,Macon,GA,31210
45a648cf-539a-40d8-a5bb-d021b423e02c,Henrie Bodman,hbodman7@elegantthemes.com,(619) 686-3608,8324 4th Plaza,San Diego,CA,92186
6b8ea6f1-bdea-43ea-a4c3-29de78f4953f,Merrili Ralfe,mralfe8@canalblog.com,(585) 279-0803,763 Warner Plaza,Rochester,NY,14652
768bcaed-3993-453b-be9b-f8011cc394db,Cinderella Robbe,crobbe9@theglobeandmail.com,(404) 770-6555,44447 Sage Place,Atlanta,GA,31196
93da3644-65b7-4774-8ca5-fd6bbccceeeb,Isacco Davidovich,idavidovicha@goodreads.com,(702) 933-8606,99885 Welch Way,Las Vegas,NV,89125
cd34363f-0151-42c5-b077-ab6bf384c92f,Bessie Traske,btraskeb@cnn.com,(810) 149-9991,85 Northridge Road,Flint,MI,48555
088e4e87-bff0-4df8-bff3-a715b9740d84,Emelia Tieman,etiemanc@cafepress.com,(651) 955-6398,2 American Ash Park,Minneapolis,MN,55441
483558e1-9edc-46e6-9247-d02ede937f1e,Kalindi Fellibrand,kfellibrandd@sohu.com,(918) 890-2243,77 Hollow Ridge Junction,Tulsa,OK,74116
bd52eaa2-fa93-4571-9232-858b38c8a64f,Almira Wallach,awallache@yellowbook.com,(215) 823-0626,904 Dennis Park,Philadelphia,PA,19136
b1c5583f-8a80-412a-a8a0-48c89e45784c,Anthe Thredder,athredderf@gov.uk,(336) 488-8977,634 Northland Junction,Greensboro,NC,27499
687360e4-3333-48be-83a6-c3dfb90f5ff3,Irina Swadden,iswaddeng@wix.com,(208) 875-1712,847 Riverside Pass,Idaho Falls,ID,83405
e3acd33f-8072-4408-a7c1-39200c04d25b,Sauncho Freebury,sfreeburyh@hubpages.com,(312) 399-3974,841 Carey Court,Chicago,IL,60697
51015bd8-54ba-411c-a747-5f931948a250,Corbett Rive,crivei@ifeng.com,(480) 892-6633,6 Bonner Street,Chandler,AZ,85246
9c7e8e6f-c0e7-4bbe-b6db-e7a3262371b8,Micheil Corneljes,mcorneljesj@xinhuanet.com,(412) 175-3289,94 Dovetail Alley,Pittsburgh,PA,15240
900e13de-3c6a-44c0-b16c-6675db49a3a6,Glory Tie,gtiek@dell.com,(607) 111-4269,2 Hauk Lane,Elmira,NY,14905
a607c262-12e0-4ee5-a350-b77ad064f726,Ingamar Doyland,idoylandl@example.com,(309) 132-1074,2 Scofield Lane,Peoria,IL,61614
82373d99-9c00-4f4c-b688-0e15154c90ac,Reg Roxburch,rroxburchm@gravatar.com,(608) 806-4581,2657 Warner Point,Madison,WI,53726
68d772f0-14ae-4c77-b1aa-62954cb8fe22,Syd Alpine,salpinen@google.com.hk,(415) 335-0298,6 Sugar Lane,San Francisco,CA,94147
d944af05-1ec5-4f0b-98f7-6e428667b528,Damiano MacCook,dmaccooko@bizjournals.com,(314) 961-4664,9 Cardinal Parkway,Saint Louis,MO,63143
4a211b18-7175-45d7-b95e-508f436e0c81,Pascal Lotte,plottep@pcworld.com,(505) 486-8660,10124 Muir Way,Albuquerque,NM,87195
9945a763-24ab-44e2-91c3-1661b8d6d73b,Doris Klimmek,dklimmekq@google.com,(626) 978-2469,39076 Gulseth Parkway,Pasadena,CA,91186
2a78a6fb-3e8a-413b-b661-fe909a8f9dd3,Marie-ann Acosta,macostar@nymag.com,(850) 468-9054,5 Raven Junction,Pensacola,FL,32590
